eps, numRows, z[0.0], z[0.05], z[0.1], z[0.15], z[0.2], z[0.25], z[0.3], z[0.35], z[0.4], z[0.45], z[0.5], z[0.55], z[0.6], z[0.65], z[0.7], z[0.75], z[0.8], z[0.85], z[0.9], z[0.95], z[1.0]
0.0, 100, 0.2819377029533765, 0.2819865026383881, 0.28212739346896365, 0.2823327084423849, 0.28232268736961286, 0.2826889787431468, 0.28264936531700524, 0.28314483634442456, 0.2829846330363167, 0.2832862809454556, 0.28313549614833955, 0.28463701768541416, 0.283964018104753, 0.28399481825768025, 0.2834706903514448, 0.2850390810705157, 0.28538818099592966, 0.28500038914313597, 0.2844139759267815, 0.2852520675763527, 0.2852520675763527
0.05, 200, 0.29961004251413026, 0.29911472666702277, 0.29867516209668554, 0.2999009494999707, 0.30041125816232617, 0.3008165473838823, 0.30191093922323664, 0.30349961613028276, 0.3029064553116546, 0.3024235926175053, 0.3024578447073899, 0.30507951811212264, 0.30578794378938345, 0.3027193191054519, 0.3045313223879902, 0.3053793610676029, 0.30673620802312374, 0.30580738615875536, 0.30822371168591856, 0.310349264748473, 0.31119114545283344
0.1, 400, 0.3349032041875002, 0.33441296540038834, 0.33312329815195496, 0.33645675066192204, 0.3354874623754529, 0.3378228531492745, 0.33480156974046726, 0.3390041519078971, 0.34068630141187073, 0.3397716949888129, 0.3472926521324705, 0.34548713342021886, 0.3492334522659689, 0.3446344596898613, 0.3497014110300034, 0.3538733137664496, 0.3488874545773025, 0.3506076220333967, 0.35338754623498425, 0.3550024857954084, 0.3552778737818303
0.15, 800, 0.41014692222423543, 0.405490469160925, 0.39958556540183665, 0.40566218538943744, 0.4009796308802107, 0.4106801588746748, 0.4054192995585745, 0.407291013201853, 0.4084183561777315, 0.409997738547887, 0.4244107020080806, 0.41482969227423794, 0.4344275003089447, 0.4247174438816378, 0.42947425350722535, 0.4340674668842439, 0.44069014612484747, 0.43189364728002155, 0.4476674942072545, 0.44031533426222513, 0.4430899497880353
0.2, 1600, 0.5187279950986878, 0.5071899531626698, 0.509237867685204, 0.5046390867523913, 0.504760411474933, 0.504821701579881, 0.5145680104810655, 0.5204215503804639, 0.5226199286924291, 0.524144950671918, 0.5339998307579277, 0.5335664237993852, 0.5592376861550786, 0.5484011895943206, 0.5531854618173274, 0.5744218389002395, 0.5790374983528727, 0.5674918496294645, 0.5971856234406203, 0.6001449700901921, 0.5990596235879933
0.25, 3200, 0.527572386556564, 0.5440148194002727, 0.5608410416640441, 0.5735092635095855, 0.5868241248137375, 0.5967024590242797, 0.6083375090536348, 0.6230670335211564, 0.6376692130431878, 0.6529633266728787, 0.661729609058787, 0.6735313783603091, 0.7141601405829265, 0.6925404319090173, 0.7295995611407543, 0.7298377565461864, 0.7659609763723978, 0.7309773405984852, 0.753292905084415, 0.7796606269436164, 0.7805208304868554
0.3, 6400, 0.5296821350967847, 0.5764426118000057, 0.5968380826487563, 0.6196902893372523, 0.6489280333746087, 0.6636859983049457, 0.6857347166125123, 0.7063336943123897, 0.7262284696285615, 0.7525683431858412, 0.7633712610779486, 0.78486210018618, 0.8213821046874835, 0.8154476645455506, 0.8595621498168545, 0.8611751181744923, 0.8899543068602009, 0.8899623114082965, 0.8971197021472769, 0.8903349175394896, 0.9094845934101203
0.35, 12800, 0.531659471333811, 0.6029689309176225, 0.6392038011117236, 0.667663151898298, 0.7093015813128225, 0.7342354680837406, 0.7531032678790718, 0.7871482622466792, 0.8140798252247897, 0.8361311807442608, 0.8443790407828529, 0.8734984956145588, 0.8975659386397865, 0.9050092481646688, 0.940103770020869, 0.9373334199630188, 0.9668875687735484, 0.9708111088851452, 0.9677991133654575, 0.9587271779680072, 0.9790138183331192
0.4, 25600, 0.5332665559290033, 0.6402636995190085, 0.684490072599209, 0.7282529555211175, 0.7696202355558476, 0.802787847421259, 0.8224172825864781, 0.8502846761759888, 0.8832571699787479, 0.8960524645000849, 0.9128311311512743, 0.9335983132332641, 0.9515094543515227, 0.9760945879770254, 0.9920197543918051, 0.9766149745875123, 0.9964027654685168, 0.9983022344352401, 0.9953436319478107, 0.9942719998848982, 0.9998126971270084
0.45, 51200, 0.5340745287100667, 0.6804636970610811, 0.7340728139002142, 0.7756462822283494, 0.8234301095828489, 0.8519503032053946, 0.8932648657681715, 0.8997498186364504, 0.9199920772881001, 0.9305366878162971, 0.9553532293461873, 0.970950314877462, 0.9829712185957933, 0.996491529829025, 0.9992953407827453, 0.9998622060750425, 0.9999740865677538, 0.9997641651242012, 0.9998171730625323, 0.9998708175445506, 0.9999999574359545
