eps, numRows, z[0.7], z[0.75], z[0.8], z[0.85], z[0.9], z[0.95], z[1.0]
0.7, 200, 0.30502928608917823, 0.3057830506427627, 0.30767105236907166, 0.30653763450636995, 0.3093746668523226, 0.31127251416963186, 0.3122234016668932
0.75, 400, 0.35220874669890523, 0.35099754354727175, 0.35504373296522307, 0.35180476084529344, 0.3595240643991613, 0.35850305954951756, 0.35911546726949817
0.8, 800, 0.44374099219011875, 0.4323281679521842, 0.4378891689466974, 0.4541925621958751, 0.448704524260646, 0.45780164368413745, 0.4532341638496862
0.85, 1600, 0.5887702009289951, 0.5679708173517837, 0.5913244479953778, 0.6086671988491834, 0.612363856039311, 0.6268150382091928, 0.6178046331660738
0.9, 3200, 0.7488247519447784, 0.7488247519447784, 0.7787470235654403, 0.7746439698740322, 0.785963745303261, 0.7953421959613396, 0.7966253296388593
0.95, 6400, 0.8789228103073319, 0.8811045599930332, 0.9056574138566817, 0.9084742476087448, 0.9070551590700302, 0.9191018997886783, 0.9191018997886783
1.0, 12800, 0.9571927490606522, 0.948835548990335, 0.9571927490606522, 0.9603681866643443, 0.9838203799577356, 0.9676407599154713, 0.9838203799577356
, 25600, 0.9771185619021863, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
, 51200, 0.9838203799577356, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
, 102400, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
