eps, numRows, z[0.7], z[0.75], z[0.8], z[0.85], z[0.9], z[0.95], z[1.0]
0.7, 200, 0.10971790179329555, 0.10964842720594814, 0.1096831638219532, 0.1098221238409326, 0.1098221238409326, 0.10964842720594814, 0.10964842720594814
0.75, 400, 0.11634289490553507, 0.11634289490553507, 0.11616791676376448, 0.11641289586457815, 0.11641289586457815, 0.11651790770261983, 0.11648290236978931
0.8, 800, 0.13013517657349538, 0.13013517657349538, 0.13002852103124196, 0.13031296487699084, 0.13034852689925513, 0.13070422713627095, 0.13109566557851382
0.85, 1600, 0.15865483089677845, 0.1597951396618018, 0.16067902333980877, 0.16075272233250126, 0.16160072638810774, 0.16101071978896864, 0.16101071978896864
0.9, 3200, 0.2183761409778746, 0.2219056510554348, 0.22305917959500987, 0.22258164985084372, 0.22545124444855358, 0.22441377720467615, 0.22401512067730012
0.95, 6400, 0.32978614255673955, 0.3360449778659068, 0.3439642702538741, 0.34137653365899345, 0.34575813975040426, 0.3412826257001016, 0.346751602058603
1.0, 12800, 0.5279180322217818, 0.5337187570114611, 0.5414772767120629, 0.5349141816209062, 0.5372474585256876, 0.5354464688549732, 0.532724905987642
, 25600, 0.7743760498458618, 0.7917695249895494, 0.8013467748725716, 0.8132223818502937, 0.804485253859373, 0.7997959845530658, 0.7991790215637439
, 51200, 0.9283486583193027, 0.9496409870535111, 0.9639591580307882, 0.9675727782437239, 0.965718321214675, 0.9751294562273465, 0.9807353596314781
, 102400, 0.9842704870062996, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
